|Identifiant de document|Reference document|1 Articles CGI|2 Articles CGI|3 Articles CGI|4 Articles CGI|5 Articles CGI|No disposition|Date mutation|Nature mutation|Valeur fonciere|No voie|B/T/Q|Type de voie|Code voie|Voie|Code postal|Commune|Code departement|Code commune|Prefixe de section|Section|No plan|No Volume|1er lot|Surface Carrez du 1er lot|2eme lot|Surface Carrez du 2eme lot|3eme lot|Surface Carrez du 3eme lot|4eme lot|Surface Carrez du 4eme lot|5eme lot|Surface Carrez du 5eme lot|Nombre de lots|Code type local|Type local|Identifiant local|Surface reelle bati|Nombre pieces principales|Nature culture|Nature culture speciale|Surface terrain
1663||||||||1|28/02/2020|Vente|173500.0||||B035|LE BOURG OUEST|1570.0|FEILLENS|1|159||AN|402||||||||||||0||||||J||165.0
1664||||||||1|28/02/2020|Vente|173500.0||||B065|CHAMP DU MOUTHIER|1570.0|FEILLENS|1|159||AN|601||||||||||||0||||||S||95.0
1665||||||||1|28/02/2020|Vente|173500.0|220.0||RTE|0116|DU DEGOTTET|1570.0|FEILLENS|1|159||AN|606||||||||||||0|1.0|Maison||100.0|4.0|S||339.0
1666||||||||1|28/02/2020|Vente|173500.0||||B035|LE BOURG OUEST|1570.0|FEILLENS|1|159||AN|613||||||||||||0||||||S||525.0
1667||||||||1|10/03/2020|Vente|177300.0|32.0||RTE|0475|DES SABLONS|1380.0|BAGE-DOMMARTIN|1|25||A|1757||||||||||||0|1.0|Maison||110.0|5.0|S||302.0
1668||||||||1|10/03/2020|Vente|177300.0|32.0||RTE|0475|DES SABLONS|1380.0|BAGE-DOMMARTIN|1|25||A|1763||||||||||||0||||||S||25.0
1669||||||||1|10/03/2020|Vente|177300.0|32.0||RTE|0475|DES SABLONS|1380.0|BAGE-DOMMARTIN|1|25||A|1769||||||||||||0||||||S||221.0
1670||||||||1|10/03/2020|Vente|177300.0|32.0||RTE|0475|DES SABLONS|1380.0|BAGE-DOMMARTIN|1|25||A|1770||||||||||||0||||||S||285.0
1671||||||||1|13/03/2020|Vente|60000.0||||B049|COLIGNY LE BAS|1270.0|COLIGNY|1|108||AB|76||||||||||||0||||||J||74.0
1672||||||||1|13/03/2020|Vente|60000.0|5096.0|||B049|COLIGNY LE BAS|1270.0|COLIGNY|1|108||AB|111||||||||||||0|2.0|Appartement||36.0|2.0|S||55.0
1673||||||||1|13/03/2020|Vente|60000.0|5096.0|||B049|COLIGNY LE BAS|1270.0|COLIGNY|1|108||AB|111||||||||||||0|2.0|Appartement||37.0|2.0|S||55.0
1674||||||||1|13/03/2020|Vente|60000.0|5096.0|||B049|COLIGNY LE BAS|1270.0|COLIGNY|1|108||AB|111||||||||||||0|2.0|Appartement||34.0|2.0|S||55.0
1675||||||||1|06/03/2020|Vente|110000.0|40.0|B|AV|1970|JEAN JAURES|1000.0|BOURG-EN-BRESSE|1|53||AM|120||11.0||6.0|71.53|||||||2|2.0|Appartement||71.0|3.0|||
1676||||||||1|19/03/2020|Vente|292473.0|1.0||RUE|0340|PASCAL|1000.0|SAINT-DENIS-LES-BOURG|1|344||AL|226||||||||||||0|1.0|Maison||119.0|6.0|AB||385.0
1677||||||||1|18/03/2020|Vente|267000.0|27.0||RUE|2730|DE MONTHOLON|1000.0|BOURG-EN-BRESSE|1|53||AI|76||||||||||||0|1.0|Maison||124.0|4.0|S||511.0
1678||||||||1|11/03/2020|Vente|1.0||||B062|GRAND MORTIER|1290.0|GRIEGES|1|179||AB|533||||||||||||0||||||S||99.0
1679||||||||1|05/03/2020|Vente|74000.0||||B010|PONT DE VEYLE|1290.0|PONT-DE-VEYLE|1|306||A|1678||2.0||||||||||1|3.0|Dépendance||0.0|0.0|||
1680||||||||1|05/03/2020|Vente|74000.0||||B010|PONT DE VEYLE|1290.0|PONT-DE-VEYLE|1|306||A|1678||7.0|61.43|||||||||1|2.0|Appartement||67.0|3.0|||
1681||||||||1|20/02/2020|Vente|15000.0||||B139|GRANDES TERRES NORD|1750.0|REPLONGES|1|320||B|839||||||||||||0||||||T||1100.0
1682||||||||1|20/02/2020|Vente|15000.0||||B139|GRANDES TERRES NORD|1750.0|REPLONGES|1|320||B|840||||||||||||0||||||S||1247.0
1683||||||||1|20/02/2020|Vente|15000.0||||B139|GRANDES TERRES NORD|1750.0|REPLONGES|1|320||B|840||||||||||||0||||||J||693.0
1684||||||||1|04/03/2020|Vente|540000.0|6.0||RUE|2190|LAMARTINE|1000.0|BOURG-EN-BRESSE|1|53||AM|228||||||||||||0|1.0|Maison||204.0|6.0|AG||345.0
1685||||||||1|04/03/2020|Vente|540000.0|6.0||RUE|2190|LAMARTINE|1000.0|BOURG-EN-BRESSE|1|53||AM|228||||||||||||0|1.0|Maison||204.0|6.0|S||503.0
