|Identifiant de document|Reference document|1 Articles CGI|2 Articles CGI|3 Articles CGI|4 Articles CGI|5 Articles CGI|No disposition|Date mutation|Nature mutation|Valeur fonciere|No voie|B/T/Q|Type de voie|Code voie|Voie|Code postal|Commune|Code departement|Code commune|Prefixe de section|Section|No plan|No Volume|1er lot|Surface Carrez du 1er lot|2eme lot|Surface Carrez du 2eme lot|3eme lot|Surface Carrez du 3eme lot|4eme lot|Surface Carrez du 4eme lot|5eme lot|Surface Carrez du 5eme lot|Nombre de lots|Code type local|Type local|Identifiant local|Surface reelle bati|Nombre pieces principales|Nature culture|Nature culture speciale|Surface terrain
0||||||||1|04/01/2019|Vente|37220.0|26.0||RUE|2730|DE MONTHOLON|1000.0|BOURG-EN-BRESSE|1|53||AI|298||8.0|19.27|||||||||1|2.0|Appartement||20.0|1.0|||
1||||||||1|04/01/2019|Vente|185100.0|22.0||RUE|1650|GEN DELESTRAINT|1000.0|BOURG-EN-BRESSE|1|53||AM|95||137.0||154.0|61.51|||||||2|2.0|Appartement||62.0|3.0|||
2||||||||1|04/01/2019|Vente|185100.0|22.0|B|RUE|1650|GEN DELESTRAINT|1000.0|BOURG-EN-BRESSE|1|53||AM|95||7.0||||||||||1|3.0|Dépendance||0.0|0.0|||
3||||||||1|08/01/2019|Vente|209000.0|3.0||RUE|0043|DES CHAMPAGNES|1160.0|PRIAY|1|314||E|1676||||||||||||0|1.0|Maison||90.0|4.0|S||940.0
4||||||||1|07/01/2019|Vente|134900.0|5.0||LOT|A003|LE BIOLAY|1370.0|SAINT-ETIENNE-DU-BOIS|1|350||AA|11||||||||||||0|1.0|Maison||101.0|5.0|S||490.0
5||||||||1|03/01/2019|Vente|192000.0|165.0||ALL|0445|DES LIBELLULES|1340.0|ATTIGNAT|1|24||AI|94||||||||||||0|1.0|Maison||88.0|4.0|S||708.0
6||||||||1|08/01/2019|Vente|45000.0|9.0||RTE|0001|DU VIADUC|1250.0|CIZE|1|106||A|86||||||||||||0|1.0|Maison||39.0|2.0|S||631.0
7||||||||1|08/01/2019|Vente|45000.0||||B017|SUR LA LATIE|1250.0|CIZE|1|106||A|975||||||||||||0||||||L||120.0
8||||||||1|04/01/2019|Vente|65000.0|50.0||RUE|1240|DOC NODET|1000.0|BOURG-EN-BRESSE|1|53||AL|3||317.0||||||||||1|3.0|Dépendance||0.0|0.0|||
9||||||||1|04/01/2019|Vente|65000.0|50.0||RUE|1240|DOC NODET|1000.0|BOURG-EN-BRESSE|1|53||AL|3||17.0||33.0|67.78|||||||2|2.0|Appartement||69.0|3.0|||
10||||||||1|04/01/2019|Vente|37000.0|68.0||AV|2400|DE MACON|1000.0|BOURG-EN-BRESSE|1|53||AB|199||107.0|39.52|16.0||||||||2|2.0|Appartement||39.0|1.0|||
11||||||||1|08/01/2019|Vente|70.0||||B037|EN CHEVRET|1250.0|TOSSIAT|1|422||D|1312||||||||||||0||||||AB||32.0
12||||||||1|08/01/2019|Vente|70.0||||B037|EN CHEVRET|1250.0|TOSSIAT|1|422||D|1316||||||||||||0||||||AB||31.0
13||||||||1|07/01/2019|Vente|116000.0|1724.0||RTE|0105|DE MONTLEGER|1560.0|MANTENAY-MONTLIN|1|230||ZH|60||||||||||||0|1.0|Maison||100.0|1.0|S||2103.0
14||||||||1|08/01/2019|Vente|266000.0||||B013|CUET|1340.0|MONTREVEL-EN-BRESSE|1|266||C|714||||||||||||0||||||S||184.0
15||||||||1|08/01/2019|Vente|266000.0||||B013|CUET|1340.0|MONTREVEL-EN-BRESSE|1|266||C|715||||||||||||0||||||S||8.0
16||||||||1|08/01/2019|Vente|266000.0|1250.0||RTE|0037|DE CUET|1340.0|MONTREVEL-EN-BRESSE|1|266||C|716||||||||||||0|1.0|Maison||115.0|4.0|S||1067.0
17||||||||1|08/01/2019|Vente|266000.0|1250.0||RTE|0037|DE CUET|1340.0|MONTREVEL-EN-BRESSE|1|266||C|716||||||||||||0|3.0|Dépendance||0.0|0.0|S||1067.0
18||||||||1|08/01/2019|Vente|266000.0||||B013|CUET|1340.0|MONTREVEL-EN-BRESSE|1|266||C|718||||||||||||0||||||S||39.0
19||||||||1|12/01/2019|Vente|138100.0|181.0||RTE|0150|DE VERNOUX|1560.0|COURTES|1|128||WA|34||||||||||||0|3.0|Dépendance||0.0|0.0|S||1500.0
