|Identifiant de document|Reference document|1 Articles CGI|2 Articles CGI|3 Articles CGI|4 Articles CGI|5 Articles CGI|No disposition|Date mutation|Nature mutation|Valeur fonciere|No voie|B/T/Q|Type de voie|Code voie|Voie|Code postal|Commune|Code departement|Code commune|Prefixe de section|Section|No plan|No Volume|1er lot|Surface Carrez du 1er lot|2eme lot|Surface Carrez du 2eme lot|3eme lot|Surface Carrez du 3eme lot|4eme lot|Surface Carrez du 4eme lot|5eme lot|Surface Carrez du 5eme lot|Nombre de lots|Code type local|Type local|Identifiant local|Surface reelle bati|Nombre pieces principales|Nature culture|Nature culture speciale|Surface terrain
143||||||||1|22/01/2018|Vente|207.0||||B042|LE PIERRET|1310.0|MONTRACOL|1|264||A|172||||||||||||0||||||BS||610.0
144||||||||1|22/01/2018|Vente|207.0||||B042|LE PIERRET|1310.0|MONTRACOL|1|264||A|173||||||||||||0||||||BS||980.0
145||||||||1|22/01/2018|Vente|207.0||||B042|LE PIERRET|1310.0|MONTRACOL|1|264||A|175||||||||||||0||||||BS||480.0
146||||||||1|29/01/2018|Vente|80500.0|26.0||BD|3430|ST NICOLAS|1000.0|BOURG-EN-BRESSE|1|53||BD|12||211.0||234.0||||||||2|2.0|Appartement||87.0|4.0|||
147||||||||1|09/01/2018|Vente|165000.0|330.0||RUE|0223|DU 6 JUIN 1944|1960.0|PERONNAS|1|289||AC|173||203.0||211.0||||||||2|2.0|Appartement||102.0|4.0|||
148||||||||1|09/01/2018|Vente|165000.0|305.0||RUE|0223|DU 6 JUIN 1944|1960.0|PERONNAS|1|289||AC|173||410.0||||||||||1|3.0|Dépendance||0.0|0.0|||
149||||||||1|18/01/2018|Vente|900.0||||B258|LA ROMAINE|1570.0|FEILLENS|1|159||AE|149||||||||||||0||||||T||921.0
150||||||||1|18/01/2018|Vente|900.0||||B121|ETANG MORTOT|1570.0|FEILLENS|1|159||C|774||||||||||||0||||||BT||2370.0
151||||||||1|18/01/2018|Vente|900.0||||B012|LES BELISES|1570.0|FEILLENS|1|159||C|1522||||||||||||0||||||P||1275.0
152||||||||1|18/01/2018|Vente|900.0||||B085|CHASSAIGNE|1570.0|FEILLENS|1|159||C|1941||||||||||||0||||||P||380.0
153||||||||1|18/01/2018|Vente|900.0||||B085|CHASSAIGNE|1570.0|FEILLENS|1|159||C|1942||||||||||||0||||||P||910.0
154||||||||1|18/01/2018|Vente|900.0||||B085|CHASSAIGNE|1570.0|FEILLENS|1|159||C|1946||||||||||||0||||||P||547.0
155||||||||1|18/01/2018|Vente|900.0||||B085|CHASSAIGNE|1570.0|FEILLENS|1|159||C|1948||||||||||||0||||||P||1190.0
156||||||||1|22/01/2018|Vente|7500.0||||B002|LA BARAQUE|1380.0|SAINT-CYR-SUR-MENTHON|1|343||ZR|72||||||||||||0||||||P||13300.0
157||||||||1|22/01/2018|Vente|7500.0||||B002|LA BARAQUE|1380.0|SAINT-CYR-SUR-MENTHON|1|343||ZR|348||||||||||||0||||||P||15906.0
158||||||||1|18/01/2018|Vente|330000.0||||B018|LES BURELLES|1290.0|CROTTET|1|134||C|684||||||||||||0||||||P||1033.0
159||||||||1|18/01/2018|Vente|330000.0|223.0||RTE|0300|DE SAINT JEAN|1290.0|CROTTET|1|134||C|2215||||||||||||0|1.0|Maison||162.0|4.0|J||48.0
160||||||||1|18/01/2018|Vente|330000.0|223.0||RTE|0300|DE SAINT JEAN|1290.0|CROTTET|1|134||C|2215||||||||||||0|1.0|Maison||162.0|4.0|S||1132.0
