|Identifiant de document|Reference document|1 Articles CGI|2 Articles CGI|3 Articles CGI|4 Articles CGI|5 Articles CGI|No disposition|Date mutation|Nature mutation|Valeur fonciere|No voie|B/T/Q|Type de voie|Code voie|Voie|Code postal|Commune|Code departement|Code commune|Prefixe de section|Section|No plan|No Volume|1er lot|Surface Carrez du 1er lot|2eme lot|Surface Carrez du 2eme lot|3eme lot|Surface Carrez du 3eme lot|4eme lot|Surface Carrez du 4eme lot|5eme lot|Surface Carrez du 5eme lot|Nombre de lots|Code type local|Type local|Identifiant local|Surface reelle bati|Nombre pieces principales|Nature culture|Nature culture speciale|Surface terrain
4431||||||||1|03/05/2021|Vente|9000.0||||B367|A LA PLANTEE|1370|VAL-REVERMONT|1|426|137.0|ZD|19||||||||||||0||||||P||398.0
4432||||||||1|03/05/2021|Vente|9000.0||||B367|A LA PLANTEE|1370|VAL-REVERMONT|1|426|137.0|ZD|21||||||||||||0||||||BS||808.0
4433||||||||1|03/05/2021|Vente|9000.0||||B394|EN VAVRE|1370|VAL-REVERMONT|1|426|137.0|ZH|17||||||||||||0||||||T||12780.0
4434||||||||1|03/05/2021|Vente|9000.0||||B394|EN VAVRE|1370|VAL-REVERMONT|1|426|137.0|ZH|17||||||||||||0||||||E|MARE|700.0
4435||||||||1|03/05/2021|Vente|9000.0||||B394|EN VAVRE|1370|VAL-REVERMONT|1|426|137.0|ZH|17||||||||||||0||||||T||12780.0
4436||||||||1|03/05/2021|Vente|9000.0||||B394|EN VAVRE|1370|VAL-REVERMONT|1|426|137.0|ZH|18||||||||||||0||||||T||1410.0
4437||||||||1|03/05/2021|Vente|9000.0||||B394|EN VAVRE|1370|VAL-REVERMONT|1|426|137.0|ZH|18||||||||||||0||||||T||2480.0
4438||||||||1|03/05/2021|Vente|9000.0||||B394|EN VAVRE|1370|VAL-REVERMONT|1|426|137.0|ZH|18||||||||||||0||||||E|MARE|1800.0
4439||||||||1|03/05/2021|Vente|9000.0||||B435|LES ENVECIES DE MONTFORT|1370|VAL-REVERMONT|1|426|312.0|C|58||||||||||||0||||||BT||9350.0
4440||||||||1|03/05/2021|Vente|9000.0||||B435|LES ENVECIES DE MONTFORT|1370|VAL-REVERMONT|1|426|312.0|C|61||||||||||||0||||||BT||650.0
4441||||||||1|03/05/2021|Vente|9000.0||||B135|EN GRAMONT|1370|VAL-REVERMONT|1|426||B|1528||||||||||||0||||||P||680.0
4442||||||||1|06/05/2021|Vente|543750.0|5134.0|||B094|VILLAGE|1340|BRESSE VALLONS|1|130|154.0|AA|99||||||||||||0|1.0|Maison||118.0|4.0|S||3876.0
4443||||||||1|06/05/2021|Vente|543750.0|5134.0|||B094|VILLAGE|1340|BRESSE VALLONS|1|130|154.0|AA|99||||||||||||0|1.0|Maison||104.0|4.0|S||3876.0
4444||||||||1|06/05/2021|Vente|543750.0|5134.0|||B094|VILLAGE|1340|BRESSE VALLONS|1|130|154.0|AA|99||||||||||||0|3.0|Dépendance||0.0|0.0|S||3876.0
4445||||||||1|06/05/2021|Vente|543750.0|5134.0|||B094|VILLAGE|1340|BRESSE VALLONS|1|130|154.0|AA|99||||||||||||0|3.0|Dépendance||0.0|0.0|S||3876.0
4446||||||||1|06/05/2021|Vente|543750.0|5134.0|||B094|VILLAGE|1340|BRESSE VALLONS|1|130|154.0|AA|99||||||||||||0|2.0|Appartement||80.0|3.0|S||3876.0
4447||||||||1|06/05/2021|Vente|543750.0|5134.0|||B094|VILLAGE|1340|BRESSE VALLONS|1|130|154.0|AA|99||||||||||||0|2.0|Appartement||90.0|3.0|S||3876.0
4448||||||||1|06/05/2021|Vente|543750.0|5134.0|||B094|VILLAGE|1340|BRESSE VALLONS|1|130|154.0|AA|99||||||||||||0|2.0|Appartement||100.0|3.0|S||3876.0
4449||||||||1|06/05/2021|Vente|543750.0|5134.0|||B094|VILLAGE|1340|BRESSE VALLONS|1|130|154.0|AA|99||||||||||||0|3.0|Dépendance||0.0|0.0|S||3876.0
